               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.021031,             0.01517,             0.01092,             0.88374,             0.86095,             0.91211,               0.725,            0.017089,           0.0088261,            0.015724,            0.001882,            0.001882,            0.001882
                  84,            0.020924,            0.015241,            0.011145,             0.88834,             0.85661,             0.91275,             0.72608,            0.017061,           0.0088183,             0.01574,            0.001783,            0.001783,            0.001783
                  85,             0.02078,            0.015054,            0.010692,             0.88541,             0.86504,             0.91233,             0.72471,            0.017039,           0.0088141,            0.015836,            0.001684,            0.001684,            0.001684
                  86,            0.020523,            0.015064,             0.01057,             0.88008,             0.87036,             0.91193,             0.72469,            0.017047,           0.0088025,            0.015913,            0.001585,            0.001585,            0.001585
                  87,            0.020378,            0.015064,            0.010372,             0.87499,             0.87369,             0.91082,             0.72489,            0.017048,           0.0088021,            0.015999,            0.001486,            0.001486,            0.001486
                  88,            0.020226,             0.01498,             0.01004,             0.87632,             0.86771,             0.90894,             0.72432,            0.017027,           0.0087941,            0.016065,            0.001387,            0.001387,            0.001387
                  89,            0.019968,            0.014849,            0.010242,             0.88836,             0.86009,             0.90836,             0.72325,            0.017017,           0.0087963,            0.016051,            0.001288,            0.001288,            0.001288
                  90,            0.019761,             0.01484,           0.0096656,             0.88979,             0.85873,             0.90888,             0.72408,            0.017021,           0.0088001,             0.01608,            0.001189,            0.001189,            0.001189
                  91,            0.019605,            0.014763,           0.0091974,             0.89253,             0.85604,              0.9089,             0.72375,            0.017017,           0.0088007,            0.016143,             0.00109,             0.00109,             0.00109
                  92,            0.019346,            0.014619,           0.0091052,             0.89313,             0.85512,             0.90827,             0.72397,            0.017014,           0.0087965,            0.016186,            0.000991,            0.000991,            0.000991
                  93,            0.019213,            0.014682,           0.0090917,             0.88744,             0.85908,             0.90776,             0.72371,            0.017006,           0.0087991,            0.016271,            0.000892,            0.000892,            0.000892
                  94,            0.019092,            0.014676,            0.008683,              0.8883,             0.86183,             0.90753,             0.72319,            0.017002,           0.0088039,            0.016355,            0.000793,            0.000793,            0.000793
                  95,            0.018824,            0.014487,           0.0087195,             0.89146,             0.85917,             0.90716,             0.72269,             0.01701,           0.0088091,            0.016446,            0.000694,            0.000694,            0.000694
                  96,            0.018788,            0.014543,           0.0085728,             0.88775,             0.85778,              0.9068,             0.72299,            0.017016,            0.008815,            0.016547,            0.000595,            0.000595,            0.000595
                  97,            0.018515,            0.014374,           0.0085336,             0.87298,             0.87013,             0.90648,             0.72286,            0.017012,           0.0088182,            0.016608,            0.000496,            0.000496,            0.000496
                  98,            0.018387,            0.014338,           0.0082452,              0.8707,             0.87419,             0.90727,             0.72278,            0.017009,           0.0088223,            0.016671,            0.000397,            0.000397,            0.000397
                  99,            0.018147,            0.014274,           0.0079952,             0.87302,             0.87243,             0.90677,             0.72308,            0.017009,           0.0088266,            0.016745,            0.000298,            0.000298,            0.000298
